No.	MolID	Molecule	ZM1	ZM1V	ZM2	ZM2V	Qindex	SNar	HNar	GNar	Xt	Ram	Pol	LPRS	VDA	MSD	SMTI	SMTIV	GMTI	GMTIV	Xu	SPI	W	WA	Har	Har2	QW	TI1	TI2	HyDp	RHyDp	w	ww	Rww	Wap	WhetZ	Whetm	Whetv	Whete	Whetp	J	JhetZ	Jhetm	Jhetv	Jhete	Jhetp	MAXDN	MAXDP	DELS	TIE	S0K	S2K	S3K	PHI	BLI	PW2	PW3	PW4	PW5	PJI2	CSI	ECC	AECC	DECC	MDDD	UNIP	CENT	VAR	BAC	Lop	ICR	X0	X1	X2	X3	X4	X5	X0A	X1A	X2A	X3A	X4A	X5A	X0v	X1v	X2v	X3v	X4v	X5v	X0Av	X1Av	X2Av	X3Av	X4Av	X5Av	X0sol	X1sol	X2sol	X3sol	X4sol	X5sol	XMOD	RDCHI	RDSQ
1	C8_01.hin	n-octane	26	26	24	24	0	4.159	1.6	1.682	0.49	0	5	24.172	21	0.463	306	306	231	231	8.584	4.129	84	3	9.502	13.743	84	-9.743	3.284	210	10.564	84	210	10.564	84	84	84	84	84	84	2.53	2.53	2.53	2.53	2.53	2.53	0.135	0.256	1.024	10.446	16	7	7.2	7	1.678	0.458	0.223	0.101	0.048	0.75	74	44	5.5	1	4	16	40	12	16	2	2	6.243	3.914	2.414	1.457	0.854	0.479	0.78	0.559	0.402	0.291	0.213	0.16	6.243	3.914	2.414	1.457	0.854	0.479	0.78	0.559	0.402	0.291	0.213	0.16	6.243	3.914	2.414	1.457	0.854	0.479	23.485	1.997	24.823
2	C8_02.hin	2-methyl-heptane	28	28	26	26	1	3.871	1.5	1.622	0.508	1	5	23.694	19.75	0.431	288	288	211	211	8.37	4.787	79	2.821	9.731	14.1	79	-9.163	2.999	185	10.862	79	185	10.862	79	79	79	79	79	79	2.716	2.716	2.716	2.716	2.716	2.716	0.429	0.287	1.65	11.014	22	5.143	7.2	5.143	1.616	0.502	0.212	0.087	0.043	1	65	39	4.875	0.906	3.75	15	38	12	18	1.906	1.906	6.406	3.77	2.89	1.385	0.803	0.433	0.801	0.539	0.413	0.277	0.201	0.144	6.406	3.77	2.89	1.385	0.803	0.433	0.801	0.539	0.413	0.277	0.201	0.144	6.406	3.77	2.89	1.385	0.803	0.433	22.62	1.909	25.922
3	C8_03.hin	3-methyl-heptane	28	28	27	27	1	3.871	1.5	1.622	0.508	1	6	23.369	19	0.41	276	276	199	199	8.255	4.738	76	2.714	9.814	14.267	76	-8.815	2.682	170	10.981	76	170	10.981	76	76	76	76	76	76	2.862	2.862	2.862	2.862	2.862	2.862	0.38	0.329	1.691	11.11	24	5.143	5	5.143	1.632	0.5	0.262	0.094	0.047	1	63	38	4.75	0.813	3.5	14	40	12	18	1.906	1.906	6.406	3.808	2.656	1.747	0.757	0.493	0.801	0.544	0.379	0.291	0.189	0.164	6.406	3.808	2.656	1.747	0.757	0.493	0.801	0.544	0.379	0.291	0.189	0.164	6.406	3.808	2.656	1.747	0.757	0.493	22.848	1.885	26.379
4	C8_04.hin	4-methyl-heptane	28	28	27	27	1	3.871	1.5	1.622	0.508	1	6	23.252	18.75	0.403	272	272	195	195	8.22	4.721	75	2.679	9.837	14.317	75	-8.699	2.524	165	11.014	75	165	11.014	75	75	75	75	75	75	2.92	2.92	2.92	2.92	2.92	2.92	0.37	0.34	1.705	11.1	18	5.143	5	5.143	1.632	0.492	0.255	0.126	0.032	1	61	37	4.625	0.875	3.313	13	46	12	18	1.906	1.906	6.406	3.808	2.683	1.563	1.13	0.289	0.801	0.544	0.383	0.26	0.226	0.144	6.406	3.808	2.683	1.563	1.13	0.289	0.801	0.544	0.383	0.26	0.226	0.144	6.406	3.808	2.683	1.563	1.13	0.289	22.848	1.879	26.51
5	C8_05.hin	3-ethyl-hexane	28	28	28	28	1	3.871	1.5	1.622	0.508	1	7	22.92	18	0.381	260	260	183	183	8.082	4.725	72	2.571	9.92	14.483	72	-8.351	2.054	150	11.133	72	150	11.133	72	72	72	72	72	72	3.074	3.074	3.074	3.074	3.074	3.074	0.333	0.282	1.651	11.157	20	5.143	3.673	5.143	1.648	0.492	0.302	0.134	0.036	0.667	54	33	4.125	0.656	3.5	12	48	12	22	1.561	1.561	6.406	3.846	2.471	1.852	1.105	0.408	0.801	0.549	0.353	0.265	0.221	0.204	6.406	3.846	2.471	1.852	1.105	0.408	0.801	0.549	0.353	0.265	0.221	0.204	6.406	3.846	2.471	1.852	1.105	0.408	23.076	1.851	26.966
6	C8_06.hin	2,2-dimethyl-hexane	32	32	30	30	3	3.466	1.391	1.542	0.537	2	5	22.835	17.75	0.38	260	260	179	179	8.027	5.151	71	2.536	10.176	14.767	71	-8.235	2.472	149	11.433	71	149	11.433	71	71	71	71	71	71	3.112	3.112	3.112	3.112	3.112	3.112	0.698	0.294	2.249	12.054	19.245	3.111	7.2	3.111	1.526	0.556	0.2	0.078	0.047	0.667	56	34	4.25	0.75	3.063	13	38	12	24	1.5	1.5	6.621	3.561	3.664	1.28	0.707	0.53	0.828	0.509	0.407	0.256	0.177	0.177	6.621	3.561	3.664	1.28	0.707	0.53	0.828	0.509	0.407	0.256	0.177	0.177	6.621	3.561	3.664	1.28	0.707	0.53	21.364	1.774	28
7	C8_07.hin	2,3-dimethyl-hexane	30	30	30	30	2	3.584	1.412	1.565	0.528	2	7	22.713	17.5	0.371	254	254	175	175	7.978	5.197	70	2.5	10.108	14.733	70	-8.119	2.229	143	11.367	70	143	11.367	70	70	70	70	70	70	3.171	3.171	3.171	3.171	3.171	3.171	0.463	0.328	2.321	11.83	22	3.938	3.673	3.938	1.577	0.542	0.288	0.092	0.032	0.667	54	33	4.125	0.656	3.125	12	44	12	24	1.5	1.561	6.569	3.681	3.01	1.882	0.789	0.333	0.821	0.526	0.376	0.269	0.197	0.167	6.569	3.681	3.01	1.882	0.789	0.333	0.821	0.526	0.376	0.269	0.197	0.167	6.569	3.681	3.01	1.882	0.789	0.333	22.084	1.788	27.791
8	C8_08.hin	2,4-dimethyl-hexane	30	30	29	29	2	3.584	1.412	1.565	0.528	2	6	22.84	17.75	0.377	258	258	179	179	8.009	5.252	71	2.536	10.059	14.65	71	-8.235	2.34	147	11.3	71	147	11.3	71	71	71	71	71	71	3.099	3.099	3.099	3.099	3.099	3.099	0.454	0.319	2.288	11.725	22	3.938	5	3.938	1.57	0.54	0.247	0.101	0.029	0.667	54	33	4.125	0.656	3.25	13	38	10	24	1.5	1.561	6.569	3.664	3.143	1.571	0.971	0.333	0.821	0.523	0.393	0.262	0.194	0.167	6.569	3.664	3.143	1.571	0.971	0.333	0.821	0.523	0.393	0.262	0.194	0.167	6.569	3.664	3.143	1.571	0.971	0.333	21.983	1.798	27.552
9	C8_09.hin	2,5-dimethyl-hexane	30	30	28	28	2	3.584	1.412	1.565	0.528	2	5	23.187	18.5	0.398	270	270	191	191	8.133	5.325	74	2.643	9.966	14.467	74	-8.583	2.682	161	11.167	74	161	11.167	74	74	74	74	74	74	2.928	2.928	2.928	2.928	2.928	2.928	0.447	0.28	2.241	11.607	12	3.938	7.2	3.938	1.554	0.546	0.203	0.075	0.059	0.667	56	34	4.25	0.75	3.5	14	36	8	24	1.5	1.5	6.569	3.626	3.365	1.321	0.667	0.667	0.821	0.518	0.421	0.264	0.167	0.167	6.569	3.626	3.365	1.321	0.667	0.667	0.821	0.518	0.421	0.264	0.167	0.167	6.569	3.626	3.365	1.321	0.667	0.667	21.755	1.823	27.047
10	C8_10.hin	3,3-dimethyl-hexane	32	32	32	32	3	3.466	1.391	1.542	0.537	2	7	22.351	16.75	0.353	244	244	163	163	7.847	5.086	67	2.393	10.318	15.033	67	-7.771	1.97	131	11.633	67	131	11.633	67	67	67	67	67	67	3.373	3.373	3.373	3.373	3.373	3.373	0.658	0.33	2.333	12.244	22	3.111	3.673	3.111	1.552	0.554	0.283	0.091	0.016	0.667	52	32	4	0.5	2.813	11	46	12	24	1.5	1.5	6.621	3.621	3.268	1.884	0.854	0.177	0.828	0.517	0.363	0.269	0.213	0.177	6.621	3.621	3.268	1.884	0.854	0.177	0.828	0.517	0.363	0.269	0.213	0.177	6.621	3.621	3.268	1.884	0.854	0.177	21.728	1.737	28.744
