MolID	Molecule	BP	MP	CT	CP	S	DENS	HVAP	DHVAP	HFORM	DHFORM	MON	MR	AcentFac	TSA	LogP	MV
C8_01.hin	n-octane	125.665	216.3	296.2	24.64	111.67	0.7025	73.19	9.915	-49.82	4.14	-999	39.1922	0.397898	415.3	3.67	162.605
C8_02.hin	2-methyl-heptane	117.647	164.16	288	24.8	109.84	0.698	70.3	9.484	-51.5	3.06	23.1	39.2316	0.377916	407.85	3.61	163.653
C8_03.hin	3-methyl-heptane	118.925	152.6	292	25.6	111.26	0.7058	71.3	9.521	-50.82	3.29	35	39.1001	0.371002	397.34	3.61	161.845
C8_04.hin	4-methyl-heptane	117.709	152	290	25.6	109.32	0.7046	70.91	9.483	-50.69	4	39	39.1174	0.371504	396.04	3.61	162.12
C8_05.hin	3-ethyl-hexane	118.534	-999	292	25.74	109.43	0.7136	71.7	9.476	-50.4	3.59	52.4	38.9441	0.362472	379.04	3.61	160.076
C8_06.hin	2,2-dimethyl-hexane	106.84	151.97	279	25.6	103.42	0.6953	67.7	8.915	-53.71	2.56	77.4	39.2525	0.339426	405.11	3.65	164.289
C8_07.hin	2,3-dimethyl-hexane	115.607	-999	293	26.6	108.02	0.7121	70.2	9.272	-51.13	4.23	78.9	38.9808	0.348247	384.93	3.54	160.413
C8_08.hin	2,4-dimethyl-hexane	109.429	-999	282	25.8	106.98	0.7004	68.5	9.029	-52.44	2.8	69.9	39.13	0.344223	388.11	3.54	163.093
C8_09.hin	2,5-dimethyl-hexane	109.103	182	279	25	105.72	0.6935	68.6	9.051	-53.21	2.5	55.7	39.2596	0.35683	395.08	3.54	164.715
C8_10.hin	3,3-dimethyl-hexane	111.969	147	290.84	27.2	104.74	0.71	68.5	8.973	-52.61	3.17	83.4	39.0087	0.322596	389.79	3.65	160.887
C8_11.hin	3,4-dimethyl-hexane	117.725	-999	298	27.4	106.59	0.72	70.2	9.316	-50.91	4.97	81.7	38.8453	0.340345	376.91	3.54	158.653
C8_12.hin	2-methyl-3-ethyl-pentane	115.45	158.2	295	27.4	106.06	0.7193	69.7	9.209	-50.48	5.08	88.1	38.8362	0.332433	368.1	3.54	158.807
C8_13.hin	3-methyl-3-ethyl-pentane	118.259	182.2	305	28.9	101.48	0.7274	69.3	9.081	-51.38	4.76	88.7	38.7171	0.306899	366.99	3.65	157.039
C8_14.hin	2,2,3-trimethyl-pentane	109.841	160.89	294	28.2	101.31	0.7161	67.3	8.826	-52.61	4.09	99.9	38.9249	0.300816	371.75	3.58	159.517
C8_15.hin	2,2,4-trimethyl-pentane	99.238	165.8	271.15	25.5	104.09	0.6919	64.87	8.402	-53.57	3.13	100	39.2617	0.30537	392.19	3.58	165.096
C8_16.hin	2,3,3-trimethyl-pentane	114.76	172.22	303	29	102.06	0.7262	68.1	8.897	-51.73	4.52	99.4	38.7617	0.293177	377.4	3.58	157.298
C8_17.hin	2,3,4-trimethyl-pentane	113.467	163.9	295	27.6	102.39	0.7191	68.37	9.014	-51.97	4.32	95.9	38.8681	0.317422	368.93	3.48	158.851
C8_18.hin	2,2,3,3-tetramethylbutane	106.47	373.8	270.8	24.5	93.06	0.8242	66.2	8.41	-53.99	4.88	-999	-999	0.255294	390.47	3.62	138.598
