DRAGON ver.5.4 - No. of variables: 1664				
No.	Rel.No.	Symbol	Definition	Class
1	1	MW	molecular weight	constitutional descriptors
2	2	AMW	average molecular weight	constitutional descriptors
3	3	Sv	sum of atomic van der Waals volumes (scaled on Carbon atom)	constitutional descriptors
4	4	Se	sum of atomic Sanderson electronegativities (scaled on Carbon atom)	constitutional descriptors
5	5	Sp	sum of atomic polarizabilities (scaled on Carbon atom)	constitutional descriptors
6	6	Ss	sum of Kier-Hall electrotopological states	constitutional descriptors
7	7	Mv	mean atomic van der Waals volume (scaled on Carbon atom)	constitutional descriptors
8	8	Me	mean atomic Sanderson electronegativity (scaled on Carbon atom)	constitutional descriptors
9	9	Mp	mean atomic polarizability (scaled on Carbon atom)	constitutional descriptors
10	10	Ms	mean electrotopological state	constitutional descriptors
11	11	nAT	number of atoms	constitutional descriptors
12	12	nSK	number of non-H atoms	constitutional descriptors
13	13	nBT	number of bonds	constitutional descriptors
14	14	nBO	number of non-H bonds	constitutional descriptors
15	15	nBM	number of multiple bonds	constitutional descriptors
16	16	SCBO	sum of conventional bond orders (H-depleted)	constitutional descriptors
17	17	ARR	aromatic ratio	constitutional descriptors
18	18	nCIC	number of rings	constitutional descriptors
19	19	nCIR	number of circuits	constitutional descriptors
20	20	RBN	number of rotatable bonds	constitutional descriptors
21	21	RBF	rotatable bond fraction	constitutional descriptors
22	22	nDB	number of double bonds	constitutional descriptors
23	23	nTB	number of triple bonds	constitutional descriptors
24	24	nAB	number of aromatic bonds	constitutional descriptors
25	25	nH	number of Hydrogen atoms	constitutional descriptors
26	26	nC	number of Carbon atoms	constitutional descriptors
27	27	nN	number of Nitrogen atoms	constitutional descriptors
28	28	nO	number of Oxygen atoms	constitutional descriptors
29	29	nP	number of Phosphorous atoms	constitutional descriptors
30	30	nS	number of Sulfur atoms	constitutional descriptors
31	31	nF	number of Fluorine atoms	constitutional descriptors
32	32	nCL	number of Chlorine atoms	constitutional descriptors
33	33	nBR	number of Bromine atoms	constitutional descriptors
34	34	nI	number of Iodine atoms	constitutional descriptors
35	35	nB	number of Boron atoms	constitutional descriptors
36	36	nHM	number of heavy atoms	constitutional descriptors
37	37	nX	number of halogen atoms	constitutional descriptors
38	38	nR03	number of 3-membered rings	constitutional descriptors
39	39	nR04	number of 4-membered rings	constitutional descriptors
40	40	nR05	number of 5-membered rings	constitutional descriptors
41	41	nR06	number of 6-membered rings	constitutional descriptors
42	42	nR07	number of 7-membered rings	constitutional descriptors
43	43	nR08	number of 8-membered rings	constitutional descriptors
44	44	nR09	number of 9-membered rings	constitutional descriptors
45	45	nR10	number of 10-membered rings	constitutional descriptors
46	46	nR11	number of 11-membered rings	constitutional descriptors
47	47	nR12	number of 12-membered rings	constitutional descriptors
48	48	nBnz	number of benzene-like rings	constitutional descriptors
49	1	ZM1	first Zagreb index M1	topological descriptors
50	2	ZM1V	first Zagreb index by valence vertex degrees	topological descriptors
51	3	ZM2	second Zagreb index M2	topological descriptors
52	4	ZM2V	second Zagreb index by valence vertex degrees	topological descriptors
53	5	Qindex	Quadratic index	topological descriptors
54	6	SNar	Narumi simple topological index (log)	topological descriptors
55	7	HNar	Narumi harmonic topological index	topological descriptors
56	8	GNar	Narumi geometric topological index	topological descriptors
57	9	Xt	Total structure connectivity index	topological descriptors
58	10	Dz	Pogliani index	topological descriptors
59	11	Ram	ramification index	topological descriptors
60	12	Pol	polarity number	topological descriptors
61	13	LPRS	log of product of row sums (PRS)	topological descriptors
62	14	VDA	average vertex distance degree	topological descriptors
63	15	MSD	mean square distance index (Balaban)	topological descriptors
64	16	SMTI	Schultz Molecular Topological Index (MTI)	topological descriptors
65	17	SMTIV	Schultz MTI by valence vertex degrees	topological descriptors
66	18	GMTI	Gutman Molecular Topological Index	topological descriptors
67	19	GMTIV	Gutman MTI by valence vertex degrees	topological descriptors
68	20	Xu	Xu index	topological descriptors
69	21	SPI	superpendentic index	topological descriptors
70	22	W	Wiener W index	topological descriptors
71	23	WA	mean Wiener index	topological descriptors
72	24	Har	Harary H index	topological descriptors
73	25	Har2	square reciprocal distance sum index	topological descriptors
74	26	QW	quasi-Wiener index (Kirchhoff number)	topological descriptors
75	27	TI1	first Mohar index TI1	topological descriptors
76	28	TI2	second Mohar index TI2	topological descriptors
77	29	STN	spanning tree number (log)	topological descriptors
78	30	HyDp	hyper-distance-path index	topological descriptors
79	31	RHyDp	reciprocal hyper-distance-path index	topological descriptors
80	32	w	detour index	topological descriptors
81	33	ww	hyper-detour index	topological descriptors
82	34	Rww	reciprocal hyper-detour index	topological descriptors
83	35	D/D	distance/detour index	topological descriptors
84	36	Wap	all-path Wiener index	topological descriptors
85	37	WhetZ	Wiener-type index from Z weighted distance matrix (Barysz matrix)	topological descriptors
86	38	Whetm	Wiener-type index from mass weighted distance matrix	topological descriptors
87	39	Whetv	Wiener-type index from van der Waals weighted distance matrix	topological descriptors
88	40	Whete	Wiener-type index from electronegativity weighted distance matrix	topological descriptors
89	41	Whetp	Wiener-type index from polarizability weighted distance matrix	topological descriptors
90	42	J	Balaban distance connectivity index	topological descriptors
91	43	JhetZ	Balaban-type index from Z weighted distance matrix (Barysz matrix)	topological descriptors
92	44	Jhetm	Balaban-type index from mass weighted distance matrix	topological descriptors
93	45	Jhetv	Balaban-type index from van der Waals weighted distance matrix	topological descriptors
94	46	Jhete	Balaban-type index from electronegativity weighted distance matrix	topological descriptors
95	47	Jhetp	Balaban-type index from polarizability weighted distance matrix	topological descriptors
96	48	MAXDN	maximal electrotopological negative variation	topological descriptors
97	49	MAXDP	maximal electrotopological positive variation	topological descriptors
98	50	DELS	molecular electrotopological variation	topological descriptors
99	51	TIE	E-state topological parameter	topological descriptors
100	52	S0K	Kier symmetry index	topological descriptors
101	53	S1K	1-path Kier alpha-modified shape index	topological descriptors
102	54	S2K	2-path Kier alpha-modified shape index	topological descriptors
103	55	S3K	3-path Kier alpha-modified shape index	topological descriptors
104	56	PHI	Kier flexibility index	topological descriptors
105	57	BLI	Kier benzene-likeliness index	topological descriptors
106	58	PW2	path/walk 2 - Randic shape index	topological descriptors
107	59	PW3	path/walk 3 - Randic shape index	topological descriptors
108	60	PW4	path/walk 4 - Randic shape index	topological descriptors
109	61	PW5	path/walk 5 - Randic shape index	topological descriptors
110	62	PJI2	2D Petitjean shape index	topological descriptors
111	63	CSI	eccentric connectivity index	topological descriptors
112	64	ECC	eccentricity	topological descriptors
113	65	AECC	average eccentricity	topological descriptors
114	66	DECC	eccentric	topological descriptors
115	67	MDDD	mean distance degree deviation	topological descriptors
116	68	UNIP	unipolarity	topological descriptors
117	69	CENT	centralization	topological descriptors
118	70	VAR	variation	topological descriptors
119	71	BAC	Balaban centric index	topological descriptors
120	72	Lop	Lopping centric index	topological descriptors
121	73	ICR	radial centric information index	topological descriptors
122	74	D/Dr03	distance/detour ring index of order 3	topological descriptors
123	75	D/Dr04	distance/detour ring index of order 4	topological descriptors
124	76	D/Dr05	distance/detour ring index of order 5	topological descriptors
125	77	D/Dr06	distance/detour ring index of order 6	topological descriptors
126	78	D/Dr07	distance/detour ring index of order 7	topological descriptors
127	79	D/Dr08	distance/detour ring index of order 8	topological descriptors
128	80	D/Dr09	distance/detour ring index of order 9	topological descriptors
129	81	D/Dr10	distance/detour ring index of order 10	topological descriptors
130	82	D/Dr11	distance/detour ring index of order 11	topological descriptors
131	83	D/Dr12	distance/detour ring index of order 12	topological descriptors
