No.	MolID	Molecule	ZM1	ZM1V	ZM2	ZM2V	Qindex	SNar	HNar	GNar	Xt	Dz	Ram	Pol	LPRS	VDA	MSD	SMTI	SMTIV	GMTI	GMTIV	Xu	SPI	W	WA	Har	Har2	QW	TI1	TI2	STN	HyDp	RHyDp	w	ww	Rww	D/D	Wap	WhetZ	Whetm	Whetv	Whete	Whetp	J	JhetZ	Jhetm	Jhetv	Jhete	Jhetp	MAXDN	MAXDP	DELS	TIE	S0K	S1K	S2K	S3K	PHI	BLI	PW2	PW3	PW4	PW5	PJI2	CSI	ECC	AECC	DECC	MDDD	UNIP	CENT	VAR	BAC	Lop	ICR	D/Dr05	D/Dr06	D/Dr09	D/Dr10	D/Dr11	D/Dr12	X0	X1	X2	X3	X4	X5	X0A	X1A	X2A	X3A	X4A	X5A	X0v	X1v	X2v	X3v	X4v	X5v	X0Av	X1Av	X2Av	X3Av	X4Av	X5Av	X0sol	X1sol	X2sol	X3sol	X4sol	X5sol	XMOD	RDCHI	RDSQ
1	PAH-L001.HIN	naphtalene	50	104	57	118	8	7.742	2.143	2.169	0.359	20	2	12	30.72	21.8	0.282	520	792	505	1084	9.751	0	109	2.422	16.288	23.9	66.429	5.499	1.047	3.555	215	18.4	345	1521	1.437	14.859	751	72.667	72.667	72.667	72.667	72.667	1.925	2.888	2.888	2.888	2.888	2.888	0.356	0.12	1.426	6.284	15.219	5.483	2.144	0.918	1.176	0.929	0.554	0.326	0.182	0.095	0.667	90	42	4.2	0.64	2.56	17	48	8	0	0	1.522	0	34.61	0	29.717	0	0	6.812	4.966	4.089	3.466	2.858	2.316	0.681	0.451	0.292	0.193	0.13	0.089	5.619	3.405	2.347	1.659	1.133	0.757	0.562	0.31	0.168	0.092	0.051	0.029	6.812	4.966	4.089	3.466	2.858	2.316	29.798	2.284	53.37
2	PAH-L002.HIN	1-methylnaphthalene	56	112	65	129	9	8.148	2	2.097	0.35	22	3	15	35.478	25.455	0.267	646	951	618	1249	10.7	3.233	140	2.545	18.349	27.85	89.714	6.78	1.075	3.555	285	20.933	426	1922	2.649	19.31	940	96.667	96.667	96.667	96.667	96.667	1.993	2.913	2.913	2.913	2.913	2.913	0.34	0.157	1.934	7.876	30.054	6.414	2.388	1.007	1.392	0.955	0.569	0.342	0.188	0.094	0.667	99	47	4.273	0.661	3.223	19	71	12	2	0.629	1.495	0	39.689	0	34.168	0	0	7.682	5.377	4.617	3.933	3.26	2.513	0.698	0.448	0.289	0.187	0.125	0.084	6.541	3.821	2.796	2.008	1.387	0.881	0.595	0.318	0.175	0.096	0.053	0.029	7.682	5.377	4.617	3.933	3.26	2.513	32.262	2.324	62.491
3	PAH-L003.HIN	2-methylnaphthalene	56	112	64	128	9	8.148	2	2.097	0.35	22	3	14	35.775	26.182	0.278	664	973	638	1277	10.797	3.371	144	2.618	18.243	27.633	91.143	6.888	1.207	3.555	305	20.781	424	1903	2.659	19.945	942	99.333	99.333	99.333	99.333	99.333	1.932	2.829	2.829	2.829	2.829	2.829	0.349	0.204	2.066	7.807	36.054	6.414	2.388	1.117	1.392	0.954	0.571	0.325	0.177	0.101	1	108	51	4.636	0.76	3.322	20	68	15	2	0.629	1.823	0	40.529	0	34.804	0	0	7.682	5.36	4.723	3.802	3.108	2.61	0.698	0.447	0.295	0.19	0.124	0.084	6.541	3.815	2.851	1.905	1.309	0.923	0.595	0.318	0.178	0.095	0.052	0.03	7.682	5.36	4.723	3.802	3.108	2.61	32.161	2.344	61.878
4	PAH-L004.HIN	1-ethylnaphthalene	60	116	70	135	9	8.841	2	2.089	0.336	24	3	17	40.762	30.333	0.265	816	1162	779	1482	11.776	3.697	182	2.758	20.157	31.533	124	8.621	1.339	3.555	397	23.148	518	2415	4.155	25.321	1162	131.667	131.667	131.667	131.667	131.667	1.987	2.791	2.791	2.791	2.791	2.791	0.388	0.197	2.428	9.512	41.02	7.356	2.979	1.238	1.826	1.011	0.556	0.349	0.2	0.103	1	119	57	4.75	0.667	4.056	22	100	20	3	0.896	1.73	0	45.473	0	39.179	0	0	8.389	5.915	4.808	4.248	3.579	2.843	0.699	0.455	0.283	0.185	0.123	0.084	7.249	4.382	2.992	2.261	1.601	1.058	0.604	0.337	0.176	0.098	0.055	0.031	8.389	5.915	4.808	4.248	3.579	2.843	35.49	2.426	70.521
5	PAH-L005.HIN	2-ethylnaphthalene	60	116	69	134	9	8.841	2	2.089	0.336	24	3	16	41.26	31.667	0.282	852	1206	819	1538	11.939	3.796	190	2.879	19.997	31.176	126.857	8.82	1.535	3.555	441	22.912	514	2375	4.171	26.53	1166	137	137	137	137	137	1.895	2.674	2.674	2.674	2.674	2.674	0.384	0.259	2.601	9.469	43.02	7.356	2.979	1.361	1.826	1.01	0.559	0.335	0.18	0.102	0.75	135	64	5.333	0.889	4.944	24	92	22	3	0.896	1.959	0	47.069	0	40.388	0	0	8.389	5.898	4.892	4.226	3.341	2.788	0.699	0.454	0.288	0.192	0.124	0.082	7.249	4.376	3.035	2.222	1.459	1.027	0.604	0.337	0.179	0.101	0.054	0.03	8.389	5.898	4.892	4.226	3.341	2.788	35.389	2.458	69.532
6	PAH-L006.HIN	2-6-dimethylnaphthalene	62	120	71	138	10	8.553	1.895	2.04	0.342	24	4	16	41.023	31	0.275	834	1180	795	1494	11.832	5.16	186	2.818	20.219	31.51	120.286	8.363	1.342	3.555	423	23.198	512	2330	3.903	25.81	1163	131.333	131.333	131.333	131.333	131.333	1.936	2.787	2.787	2.787	2.787	2.787	0.341	0.217	2.696	9.486	31.02	7.356	2.633	1.361	1.614	0.975	0.584	0.324	0.173	0.106	0.75	130	62	5.167	0.889	4.333	24	84	18	5	0.73	1.918	0	46.449	0	39.89	0	0	8.552	5.754	5.357	4.137	3.359	2.912	0.713	0.443	0.298	0.188	0.12	0.081	7.464	4.226	3.354	2.151	1.485	1.091	0.622	0.325	0.186	0.098	0.053	0.03	8.552	5.754	5.357	4.137	3.359	2.912	34.524	2.408	70.701
7	PAH-L007.HIN	2-7-dimethylnaphthalene	62	120	71	138	10	8.553	1.895	2.04	0.342	24	4	16	40.969	30.833	0.273	830	1176	791	1490	11.81	5.13	185	2.803	20.226	31.533	120.257	8.361	1.338	3.555	416	23.21	511	2321	3.908	25.782	1163	130.667	130.667	130.667	130.667	130.667	1.944	2.798	2.798	2.798	2.798	2.798	0.341	0.225	2.69	9.483	33.02	7.356	2.633	1.361	1.614	0.975	0.584	0.323	0.172	0.105	1	123	59	4.917	0.778	4.167	23	94	18	5	0.73	1.855	0	46.449	0	39.89	0	0	8.552	5.754	5.357	4.137	3.363	2.866	0.713	0.443	0.298	0.188	0.12	0.08	7.464	4.226	3.354	2.151	1.486	1.077	0.622	0.325	0.186	0.098	0.053	0.03	8.552	5.754	5.357	4.137	3.363	2.866	34.524	2.406	70.755
8	PAH-L008.HIN	1-7-dimethylnaphthalene	62	120	72	139	10	8.553	1.895	2.04	0.342	24	4	17	40.65	30	0.262	808	1150	767	1458	11.712	5.004	180	2.727	20.344	31.783	118.457	8.236	1.227	3.555	390	23.381	514	2349	3.893	24.952	1161	127.333	127.333	127.333	127.333	127.333	2.003	2.877	2.877	2.877	2.877	2.877	0.336	0.241	2.544	9.552	35.02	7.356	2.633	1.238	1.614	0.977	0.583	0.339	0.182	0.104	1	117	56	4.667	0.722	4	22	96	18	5	0.73	1.784	0	45.609	0	39.255	0	0	8.552	5.771	5.25	4.276	3.459	2.912	0.713	0.444	0.292	0.186	0.119	0.081	7.464	4.232	3.3	2.256	1.543	1.109	0.622	0.326	0.183	0.098	0.053	0.031	8.552	5.771	5.25	4.276	3.459	2.912	34.625	2.385	71.45
9	PAH-L009.HIN	1-5-dimethylnaphthalene	62	120	73	140	10	8.553	1.895	2.04	0.342	24	4	18	40.393	29.333	0.254	790	1128	747	1430	11.626	4.911	176	2.667	20.45	32	116.857	8.124	1.128	3.555	370	23.533	518	2389	3.877	24.215	1159	124.667	124.667	124.667	124.667	124.667	2.053	2.943	2.943	2.943	2.943	2.943	0.309	0.178	2.412	9.627	27.02	7.356	2.633	1.131	1.614	0.978	0.582	0.355	0.192	0.097	0.667	108	52	4.333	0.667	4	22	88	14	5	0.73	1.459	0	44.768	0	38.619	0	0	8.552	5.788	5.144	4.406	3.62	2.801	0.713	0.445	0.286	0.184	0.121	0.08	7.464	4.238	3.245	2.358	1.624	1.06	0.622	0.326	0.18	0.098	0.054	0.03	8.552	5.788	5.144	4.406	3.62	2.801	34.726	2.366	72.065
10	PAH-L010.HIN	1-2-dimethylnaphthalene	62	120	73	140	10	8.553	1.895	2.04	0.342	24	4	18	40.52	29.667	0.259	800	1142	759	1450	11.68	4.9	178	2.697	20.415	31.917	117.257	8.152	1.164	3.555	381	23.481	516	2370	3.886	24.669	1152	126	126	126	126	126	2.027	2.908	2.908	2.908	2.908	2.908	0.333	0.178	2.389	9.621	33.02	7.356	2.633	1.131	1.614	0.978	0.583	0.356	0.183	0.097	1	117	56	4.667	0.722	4	22	92	16	5	0.73	1.784	0	45.609	0	39.255	0	0	8.552	5.788	5.122	4.534	3.449	2.764	0.713	0.445	0.285	0.189	0.119	0.079	7.464	4.238	3.229	2.469	1.536	1.03	0.622	0.326	0.179	0.103	0.053	0.029	8.552	5.788	5.122	4.534	3.449	2.764	34.726	2.375	71.818
