Fe II,2,1.83,26,30.651,11.18
Fe III,3,1.83,26,54.91,11.18
Fe IV,4,1.83,26,75,11.18
Fe V,5,1.83,26,98.985,11.18
Fe VI,6,1.83,26,124.98,11.18
Fe VII,7,1.83,26,151.06,11.18
Cr I,1,1.66,25,16.486305,9.757
Cr II,2,1.66,25,30.959,9.757
Cr III,3,1.66,25,49.16,9.757
Cr IV,4,1.66,25,69.46,9.757
Cr V,5,1.66,25,90.6349,9.757
Co I,1,1.88,27,17.0844,9.757
Co II,2,1.88,27,33.5,11.855
Co III,3,1.88,27,51.27,11.855
Co IV,4,1.88,27,79.5,11.855
Co V,5,1.88,27,102,11.855
Co VI,6,1.88,27,128.9,11.855
Co VII,7,1.88,27,157.8,11.855
Co VIII,8,1.88,27,186.14,11.855
Ni I,1,1.91,28,18.168837,12.53
Ni II,2,1.91,28,35.187,12.53
Ni III,3,1.91,28,54.92,12.53
Ni IV,4,1.91,28,76.06,12.53
Ni V,5,1.91,28,108,12.53
Ni VI,6,1.91,28,132,12.53
Ni VII,7,1.91,28,162,12.53
Ni VIII,8,1.91,28,193.2,12.53
Ni IX,9,1.91,28,224.7,12.53
